key,values
전기차배터리,전기차용 배터리
전기차배터리,최첨단 배터리
전기차배터리,소형 전지
전기차배터리,소형 배터리
전기차배터리,전기차전용배터리
전기차배터리,전기차 전용 배터리
전기차배터리,2차 전지
전기차배터리,전기차 배터리
전기차배터리,2차전지
전기차배터리,이차전지
전기차배터리,전기자동차용 중대형 전지
전기차배터리,전기車배터리
전기차배터리,중·대형 전지
전기차배터리,차세대 배터리
전기차배터리,중대형 전지
전기차배터리,리튬이온배터리
전고체배터리,전고체 전지
전고체배터리,전고체전지
전고체배터리,리튬황·전고체 배터리
전고체배터리,리튬-황 배터리
전고체배터리,전고체 배터리
전기차배터리,차세대 전기차 배터리
모빌리티,미래 모빌리티
모빌리티,미래 모빌리티 비전
모빌리티,클린 모빌리티
에너지저장장치,대용량 에너지저장장치
에너지저장장치,에너지저장장치(ESS)
에너지저장장치,에너지 저장장치
이지엠피,E-GMP(Electric-Global Modular Platform)
이지엠피,전기차 전용 플랫폼 'E-GMP'
이지엠피,EV 전용 플랫폼
이지엠피,전기차 전용 플랫폼(e-GMP)
이지엠피,이·지엠피(E-GMP·Electric-Global Modular Platform)
이지엠피,EV 전용 플랫폼(E-GMP)
전기차플랫폼,전기차 플랫폼
전기차플랫폼,전기차 전용 플랫폼
전기차플랫폼,차세대 전기차 플랫폼
전기차,전기車
전기차,수소전기차
전기차,프리미엄 전기차
전기차,국내 전기차
불공정수입조사국,ITC산하기관
불공정수입조사국,OUII·Office of Unfair Import Investigations
일본기업 ,일본 파나소닉
일본기업 ,파나소닉
일본기업 ,도요타
독일기업,volswagen
독일기업,폭스바겐
중국기업,중국 전기차 배터리 업체
중국기업,베이징자동차
중국기업,CATL
중국기업,중국 CATL
중국기업,중국 BYD
중국기업,BYD
중국기업,중국 배터리 업체인 CATL
중국기업,지리자동차
중국기업,중국의 CATL
중국기업,"中CATL, 중국 1위 배터리 업체 CATL"
중국기업,중국 1위 배터리 제조사 CATL
중국기업,CALB
중국기업,中 배터리업체 CATL
알엠아이,책임 있는 광물 조달 및 공급망 관리를 위한 연합
기가와트아워,GWh(기가와트시)
기가와트아워,GWh(기가와트아워)
기가와트아워,기가와트시
기가와트아워,GWh
전기차시장,전기차 시장
영업 이익,영업이익
전기차 공장,전기차공장
배터리 공장,배터리공장
배터리 3사,국내 3사
배터리 3사,국내3사
배터리 3사,국내3社
배터리 3사,국내배터리 3사
배터리 3사,국내배터리 삼사
배터리 3사,배터리 3인방
배터리 3사,배터리 삼인방
배터리 3사,배터리 삼사
배터리 3사,배터리 3개사
미국화학학회,전문잡지 C&EN(Chemical & Engineering News)
미국화학학회,C&EN(Chemical & Engineering News)
미국화학학회,Chemical & Engineering News
모델3,테슬라 모델3
세계,전 세계
세계,전세계
시총,시가 총액
시총,시가총액
영국 기업,어라이벌
영국 기업,arival
미국 기업 ,카누
미국 기업 ,앱티브
미국 기업 ,미국 GM
미국 기업 ,포드
미국 기업 ,포드자동차
미국 기업 ,퀀텀스케이프
미국 기업 ,앱티브(Aptiv)
동남아 기업,그랩
스포츠유틸리티차량,SUV
스포츠유틸리티차량,suv
스포츠유틸리티차량,아크폭스(ARCFOX) SUV '마크5'
스포츠유틸리티차량,스포츠유틸리티카(SUV)
소송,소송전
내연기관차,내연기관차량
내연기관차,내연 기관차
내연기관차,내연 기관차량
전문가,이창환 현대차증권 연구원
전문가,정 연구원
전문가,알버트 비어만(Albert Biermann)
전문가,현대자동차 연구개발본부 사장
전문가,정원석 하이투자증권 연구원
전문가,김대준 한국투자증권 연구원
전문가,고태봉 하이투자증권 리서치센터장
전문가,신한금융투자 연구원
전문가,이진명 신한금융투자 연구원
전문가,한병화 유진투자증권 연구원
전문가,정 센터장
전문가,강연구원
전문가,강 연구원
전문가,대신증권 연구원
전문가,문남중 대신증권 연구원
전문가,이경락 파트너
전문가,이재광 연구원
시장점유율,시장 점유율
양극재,양극활물질
양극재,하이니켈 양극재(니켈 비중을 높여 에너지 밀도를 높인 양극재)
양극재,하이니켈계 양극제
코로나,신종 코로나
코로나,코로나 바이러스
코로나,신종 코로나 바이러스 감염증
코로나,신종 코로나바이러스
코로나,코로나바이러스 감염증
에스디아이,sdi
에스디아이,SDI
에스케이,SK
에스케이,sk
탄소,이산화탄소
코나이브이,코나 일렉트릭
코나이브이,코나 전기차
코나이브이,코나EV
코나이브이,코나 EV
코나이브이,코나ev
코나이브이,Kona EV
코나이브이,코나 ev
아반떼,올 뉴 아반떼
G80,디 올 뉴 G80
니켈코발트망간,니켈ㆍ코발트ㆍ망간
니켈코발트망간,니켈ㆍ코발트ㆍ망간(NCM)
하이브리드자동차,하이브리드카(HEV)
플러그인 하이브리드 자동차,PHEV
플러그인 하이브리드 자동차,PH EV
플러그인 하이브리드 자동차,플러그인하이브리드카(PHEV)
플러그인 하이브리드 자동차,플러그인하이브리드카
플러그인 하이브리드 자동차,플러그인 하이브리드 자동차(PHEV)
배터리,배터리 셀(PHEV용 배터리셀)
탄소정보공개 프로젝트,"탄소정보공개 프로젝트(CDP, Carbon Disclosure Project)"
탄소경영 아너스 클럽,탄소경영 아너스 클럽(Honors Club)
전기차 동맹,한국판 배터리 동맹
전기차 동맹,k전기차 동맹
아이오닉,아이오닉(IONIQ)
아이오닉,아오닉
전기버스,전기 버스
배터리 ,베터리
연간,연산
업무협약,업무협약(MOU)
기업공개,기업공개(IPO)
아우토 모토 운트 슈포트,아우토 모토 운트 슈포트(auto motor und sport)
한국판 뉴딜,한국형 뉴딜
전기차,전기車
그린뉴딜연합,그린 뉴딜 연합
퍼플엠,퍼플엠(Purple M)
협력사,코드42
협력사,코드42(CODE42)
한국자동차산업협회,한국자동차산업협회(KAMA)
중국,中
이에스지,ESG(환경·사회·지배구조)
이에스지,사회책임투자(ESG)
이에스지,사회책임투자
주,株
주가순자산비율,PBR
주가순자산비율,주가순자산비율(PBR)
캘리포니아 대기자원 위원회,캘리포니아 대기자원 위원회(CARB)
펜데믹,펜데믹(세계적 대유행)
펜데믹,팬데믹
국제가전박람회,국제가전박람회(IFA)2020
국제가전박람회,국제가전박람회(IFA)
니켈코발트망간알루미늄,NCMA(니켈·코발트·망간·알루미늄)
배터리데이,베터리 데이(Battery Day)
배터리데이,베터리데이
배터리데이,배터리 데이
배터리데이,베터리 데이
독일,獨
언택트,언택트(비대면)
벨류체인,"가치사슬, 벨류체인(가치사슬)"
렌탈,렌텔
렌탈,렌털
월스트리트 저널,월스트리트저널
월스트리트 저널,월스트리트 저널(WSJ)
연구개발,연구·개발
에너지,애너지
미국,美
바이든,"조바이든, 조 바이든"
에코프로비엠,에코프로이엠
한국,韓
재생에너지100,RE100(Renewable Energy 100)
엘지,LG
엘지,lg
에너지저장장치,에너지 저장 (ESS) 투자
테슬라,Tesla
배터리데이,배터리의 날
기가와트아워,GWH
 ,0
 ,1
 ,2
 ,3
 ,4
 ,5
 ,6
 ,7
 ,8
 ,9
이노베이션,혁신
